asset,year,partition,rep_period,specification
BE_Solar,2050,10;7;28;19;42;7;17;7;17;7;65;7;137;7;26;14;8;43;21;8;37;4;9;15;7;50;14;9;39;59;13;35;20;17;9;15;8;16;9;15;8;3;13;8;2;14;48;9;17;22;9;39;7;17;9;15;9;8;12;4;17;7;15;8;3;13;9;39;9;38;13;35;11;13;10;146;12;11;23;1;13;11;13;11;13;11;13;11;13;11;61;11;13;11;13;11;25;10;2;11;5;6;14;10;16;7;5;9;6;17;1;12;12;5;6;25;11;13;12;36;12;60;10;14;12;10;26;13;11;13;13;9;19;7;15;9;15;9;11;13;11;13;11;6;10;8;13;11;13;58;14;10;5;9;10;14;10;14;10;14;34;14;34;14;10;17;7;14;58;14;10;14;34;9;5;58;13;6;8;9;12;14;8;5;11;10;14;10;15;9;2;8;14;14;10;11;13;10;14;15;9;15;33;15;24;9;3;7;5;24;9;11;13;15;14;7;19;8;9;15;32;16;2;7;15;8;16;48;8;16;32;16;12;12;8;16;32;16;32;16;8;16;24;8;16;8;5;8;11;16;9;11;13;11;15;3;43;15;8;16;4;28;8;4;12;16;24;10;12;10;16;12;12;32;16;8;6;10;24;13;4;7;8;13;11;16;33;24;15;33;15;9;15;9;15;33;15;33;15;24;33;15;9;15;9;24;7;8;9;15;9;14;58;15;24;9;15;11;24;13;9;12;2;10;15;9;15;37;5;5;24;39;9;18;6;10;14;10;14;10;14;58;14;11;13;24;10;31;5;12;14;10;14;11;13;11;12;12;13;35;72;13;11;13;35;13;11;13;83;12;36;12;12;12;36;8;16;12;12;12;12;12;12;12;12;11;13;12;12;12;12;12;12;12;12;12;12;12;12;24;12;36;12;12;12;36;12;12;12;11;13;5;32;10;14;10;38;24;10;62;8;16;24;10;38;10;14;3;7;16;8;57;5;10;14;10;14;10;38;10;14;10;14;10;14;10;14;10;38;10;8;7;8;15;9;15;9;15;9;84;4;8;64;8;16;8;184;8;37;14;10;5;10;57;3;8;6;10;71;2;10;7;8;70;8;112;8;51;10;62;13;8;112;73;7;41;7;52;9;90,1,explicit
BE_Wind_Offshore,2050,10;7;28;19;42;7;17;7;17;7;65;7;137;7;26;14;8;43;21;8;37;4;9;15;7;50;14;9;39;59;13;35;20;17;9;15;8;16;9;15;8;3;13;8;2;14;48;9;17;22;9;39;7;17;9;15;9;8;12;4;17;7;15;8;3;13;9;39;9;38;13;35;11;13;10;146;12;11;23;1;13;11;13;11;13;11;13;11;13;11;61;11;13;11;13;11;25;10;2;11;5;6;14;10;16;7;5;9;6;17;1;12;12;5;6;25;11;13;12;36;12;60;10;14;12;10;26;13;11;13;13;9;19;7;15;9;15;9;11;13;11;13;11;6;10;8;13;11;13;58;14;10;5;9;10;14;10;14;10;14;34;14;34;14;10;17;7;14;58;14;10;14;34;9;5;58;13;6;8;9;12;14;8;5;11;10;14;10;15;9;2;8;14;14;10;11;13;10;14;15;9;15;33;15;24;9;3;7;5;24;9;11;13;15;14;7;19;8;9;15;32;16;2;7;15;8;16;48;8;16;32;16;12;12;8;16;32;16;32;16;8;16;24;8;16;8;5;8;11;16;9;11;13;11;15;3;43;15;8;16;4;28;8;4;12;16;24;10;12;10;16;12;12;32;16;8;6;10;24;13;4;7;8;13;11;16;33;24;15;33;15;9;15;9;15;33;15;33;15;24;33;15;9;15;9;24;7;8;9;15;9;14;58;15;24;9;15;11;24;13;9;12;2;10;15;9;15;37;5;5;24;39;9;18;6;10;14;10;14;10;14;58;14;11;13;24;10;31;5;12;14;10;14;11;13;11;12;12;13;35;72;13;11;13;35;13;11;13;83;12;36;12;12;12;36;8;16;12;12;12;12;12;12;12;12;11;13;12;12;12;12;12;12;12;12;12;12;12;12;24;12;36;12;12;12;36;12;12;12;11;13;5;32;10;14;10;38;24;10;62;8;16;24;10;38;10;14;3;7;16;8;57;5;10;14;10;14;10;38;10;14;10;14;10;14;10;14;10;38;10;8;7;8;15;9;15;9;15;9;84;4;8;64;8;16;8;184;8;37;14;10;5;10;57;3;8;6;10;71;2;10;7;8;70;8;112;8;51;10;62;13;8;112;73;7;41;7;52;9;90,1,explicit
BE_Wind_Onshore,2050,10;7;28;19;42;7;17;7;17;7;65;7;137;7;26;14;8;43;21;8;37;4;9;15;7;50;14;9;39;59;13;35;20;17;9;15;8;16;9;15;8;3;13;8;2;14;48;9;17;22;9;39;7;17;9;15;9;8;12;4;17;7;15;8;3;13;9;39;9;38;13;35;11;13;10;146;12;11;23;1;13;11;13;11;13;11;13;11;13;11;61;11;13;11;13;11;25;10;2;11;5;6;14;10;16;7;5;9;6;17;1;12;12;5;6;25;11;13;12;36;12;60;10;14;12;10;26;13;11;13;13;9;19;7;15;9;15;9;11;13;11;13;11;6;10;8;13;11;13;58;14;10;5;9;10;14;10;14;10;14;34;14;34;14;10;17;7;14;58;14;10;14;34;9;5;58;13;6;8;9;12;14;8;5;11;10;14;10;15;9;2;8;14;14;10;11;13;10;14;15;9;15;33;15;24;9;3;7;5;24;9;11;13;15;14;7;19;8;9;15;32;16;2;7;15;8;16;48;8;16;32;16;12;12;8;16;32;16;32;16;8;16;24;8;16;8;5;8;11;16;9;11;13;11;15;3;43;15;8;16;4;28;8;4;12;16;24;10;12;10;16;12;12;32;16;8;6;10;24;13;4;7;8;13;11;16;33;24;15;33;15;9;15;9;15;33;15;33;15;24;33;15;9;15;9;24;7;8;9;15;9;14;58;15;24;9;15;11;24;13;9;12;2;10;15;9;15;37;5;5;24;39;9;18;6;10;14;10;14;10;14;58;14;11;13;24;10;31;5;12;14;10;14;11;13;11;12;12;13;35;72;13;11;13;35;13;11;13;83;12;36;12;12;12;36;8;16;12;12;12;12;12;12;12;12;11;13;12;12;12;12;12;12;12;12;12;12;12;12;24;12;36;12;12;12;36;12;12;12;11;13;5;32;10;14;10;38;24;10;62;8;16;24;10;38;10;14;3;7;16;8;57;5;10;14;10;14;10;38;10;14;10;14;10;14;10;14;10;38;10;8;7;8;15;9;15;9;15;9;84;4;8;64;8;16;8;184;8;37;14;10;5;10;57;3;8;6;10;71;2;10;7;8;70;8;112;8;51;10;62;13;8;112;73;7;41;7;52;9;90,1,explicit
BE_electrolyzer,2050,1,1,uniform
BG_Battery,2050,1,1,uniform
BG_Coal,2050,1,1,uniform
BG_E_Balance,2050,1,1,uniform
BG_E_Demand,2050,16;40;8;16;8;16;8;16;8;16;8;16;8;14;74;8;6;8;26;7;5;10;27;8;14;3;70;9;14;10;26;12;10;74;36;11;16;9;10;28;6;4;13;23;9;3;12;9;1;14;10;14;9;63;8;4;12;24;9;15;9;42;5;5;11;10;14;10;14;10;14;10;38;10;14;10;14;10;14;10;38;10;14;10;14;10;14;10;14;10;14;10;14;11;37;11;13;10;85;12;24;36;12;36;12;12;12;60;12;36;12;60;12;60;12;12;12;84;12;12;12;12;12;12;12;84;12;12;12;12;12;35;13;11;13;35;13;11;13;59;13;11;13;11;13;35;14;14;10;58;14;13;11;34;14;10;10;38;14;10;14;34;9;39;14;10;14;24;10;14;34;14;34;14;10;14;48;11;13;58;14;34;14;14;10;10;14;34;14;64;4;13;15;13;11;57;15;10;14;9;4;10;10;5;7;3;9;6;9;33;15;48;21;3;12;9;16;11;9;15;9;15;10;14;98;31;12;3;9;15;34;14;70;13;13;58;14;24;10;14;35;3;10;13;11;34;14;34;14;10;14;34;14;15;9;24;36;12;34;14;34;14;34;14;15;9;24;10;14;10;14;10;14;58;14;34;14;10;14;10;14;34;14;34;14;34;14;12;12;17;5;12;6;3;5;34;14;12;12;10;14;106;13;35;13;16;8;11;13;11;13;11;13;11;13;24;37;11;60;12;12;12;36;12;12;12;12;12;12;12;36;12;12;12;12;12;12;12;36;9;39;12;48;36;11;13;11;13;11;37;11;13;11;13;11;14;10;13;11;13;11;37;11;13;11;29;32;11;13;11;13;11;37;11;37;11;19;5;13;11;13;11;14;10;13;10;15;10;14;10;61;11;13;11;62;10;14;10;14;10;14;10;14;10;14;10;14;9;15;9;15;9;15;9;15;9;39;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;9;15;11;13;24;9;39;9;26;13;12;12;24;9;15;9;15;9;15;9;23;16;9;15;9;15;9;39;9;15;9;26;13;24;3;5;16;9;15;9;15;9;15;9;15;9;15;9;24;40;8;16;8;16;7;17;8;16;24;8;66;5;17;8;8,1,explicit
BG_E_ENS,2050,1,1,uniform
BG_Gas,2050,1,1,uniform
